period,"Tiền mặt, vàng bạc, đá quý",Tài sản cố định,Tài sản cố định hữu hình,Nguyên giá TSCĐ hữu hình,Hao mòn TSCĐ hữu hình,Tài sản cố định thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Hao mòn TSCĐ thuê tài chính,Tài sản cố định vô hình,Nguyên giá TSCĐ vô hình,Hao mòn TSCĐ vô hình,Bất động sản đầu tư,Nguyên giá bất động sản đầu tư,Hao mòn bất động sản đầu tư,"Góp vốn, đầu tư dài hạn",Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn,TỔNG TÀI SẢN,TỔNG NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Cổ phiếu Quỹ,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích của cổ đông thiểu số (trước 2015),NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Cho vay khách hàng,Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Tài sản Có khác,Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác",Phát hành giấy tờ có giá,Các khoản nợ khác,Vốn của tổ chức tín dụng,Vốn đầu tư XDCB,Cổ phiếu ưu đãi,Quỹ của tổ chức tín dụng,Bảo lãnh khác,Cam kết giao dịch hối đoái,Cam kết mua ngoại tệ,Cam kết bán ngoại tệ,Cam kết giao dịch hoán đổi,Cam kết giao dịch tương lai,Cam kết cho vay không hủy ngang,Cam kết trong nghiệp vụ L/C,Cam kết khác,Lợi ích của cổ đông thiểu số,Tiền gửi tại các TCTD khác,Cho vay các TCTD khác,Dự phòng rủi ro,Hoạt động mua nợ,Mua nợ,Dự phòng rủi ro hoạt động mua nợ,Các khoản phải thu,Các khoản lãi và phí phải thu,Tài sản thuế TNDN hoãn lại,Tài sản Có khác,Trong đó: Lợi thế thương mại,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Tiền gửi của các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,"Các khoản lãi, phí phải trả",Thuế TNDN hoãn lại phải trả,Các khoản phải trả và công nợ khác,Dự phòng rủi ro khác,Vốn Góp liên doanh,Đầu tư vào công ty liên kết
2018-Q1,3670967000000.0,1482782000000.0,562082000000.0,1623479000000.0,-1061397000000.0,0.0,0.0,0.0,920700000000.0,1452985000000.0,-532285000000.0,1228013000000.0,1441529000000.0,-213516000000.0,9668000000.0,0.0,0.0,12084000000.0,-2416000000.0,273152696000000.0,235536897000000.0,37615799000000.0,11655307000000.0,8265307000000.0,0.0,-1511737000000.0,0.0,4264000000.0,13055152000000.0,0.0,273152696000000.0,3523522000000.0,31985206000000.0,3570608000000.0,3579184000000.0,-8576000000.0,113895000000.0,161610608000000.0,163948354000000.0,-2337746000000.0,53509756000000.0,47516807000000.0,6204863000000.0,-211914000000.0,12447671000000.0,2000000000000.0,25400971000000.0,181390553000000.0,0.0,0.0,20074063000000.0,6671310000000.0,18408877000000.0,0.0,0.0,6147506000000.0,13345473000000.0,5766000000.0,4076957000000.0,4435650000000.0,100747088000000.0,0.0,0.0,11720101000000.0,45196594000000.0,0.0,16917804000000.0,15067402000000.0,0.0,0.0,1682000000.0,-1682000000.0,7917124000000.0,4399966000000.0,0.0,653073000000.0,0.0,-522492000000.0,17873432000000.0,7527539000000.0,2860681000000.0,0.0,3810629000000.0,0.0,0.0,0.0
2018-Q2,3590328000000.0,1488775000000.0,590135000000.0,1651663000000.0,-1061528000000.0,0.0,0.0,0.0,898640000000.0,1456652000000.0,-558012000000.0,1214224000000.0,1435699000000.0,-221475000000.0,12223000000.0,0.0,0.0,12883000000.0,-660000000.0,300404808000000.0,252975368000000.0,47429440000000.0,11655307000000.0,14471077000000.0,0.0,0.0,0.0,-350000000.0,15155900000000.0,0.0,300404808000000.0,3211552000000.0,51321690000000.0,7356386000000.0,7373729000000.0,-17343000000.0,0.0,164180966000000.0,166700421000000.0,-2519455000000.0,54618895000000.0,50610244000000.0,4171200000000.0,-162549000000.0,13409769000000.0,2000000000000.0,37706302000000.0,186283209000000.0,67057000000.0,0.0,18904296000000.0,8014504000000.0,26126384000000.0,0.0,0.0,6147506000000.0,17129758000000.0,5766000000.0,3855579000000.0,2932528000000.0,175898988000000.0,0.0,0.0,14318949000000.0,53196508000000.0,0.0,37976299000000.0,13345391000000.0,0.0,0.0,1682000000.0,-1682000000.0,8657532000000.0,4671813000000.0,0.0,641168000000.0,0.0,-560744000000.0,27935285000000.0,9771017000000.0,3079127000000.0,0.0,4935377000000.0,0.0,0.0,0.0
2018-Q3,4041877000000.0,1586082000000.0,653352000000.0,1730445000000.0,-1077093000000.0,0.0,0.0,0.0,932730000000.0,1516222000000.0,-583492000000.0,1205274000000.0,1435699000000.0,-230425000000.0,12223000000.0,0.0,0.0,12883000000.0,-660000000.0,311795636000000.0,262314635000000.0,49481001000000.0,34965922000000.0,476947000000.0,0.0,0.0,0.0,-499000000.0,11387717000000.0,0.0,311795636000000.0,5582643000000.0,43737213000000.0,5576396000000.0,5586683000000.0,-10287000000.0,0.0,164282010000000.0,166938850000000.0,-2656840000000.0,69000379000000.0,53276405000000.0,15986200000000.0,-262226000000.0,16771539000000.0,2000000000000.0,39571425000000.0,193583132000000.0,382672000000.0,0.0,17240065000000.0,9537341000000.0,35442869000000.0,0.0,0.0,2650914000000.0,18469618000000.0,5810000000.0,14739495000000.0,8663249000000.0,78149358000000.0,78098471000000.0,0.0,14912961000000.0,175334758000000.0,0.0,27666716000000.0,16070497000000.0,0.0,0.0,1682000000.0,-1682000000.0,10141222000000.0,6035558000000.0,0.0,665969000000.0,0.0,-71210000000.0,29388541000000.0,10182884000000.0,3562788000000.0,0.0,5974553000000.0,0.0,0.0,0.0
2018-Q4,2606467000000.0,1718596000000.0,788016000000.0,1835272000000.0,-1047256000000.0,0.0,0.0,0.0,930580000000.0,1540037000000.0,-609457000000.0,1196324000000.0,1435699000000.0,-239375000000.0,12223000000.0,0.0,0.0,12883000000.0,-660000000.0,321049453000000.0,269266748000000.0,51782705000000.0,34965922000000.0,476617000000.0,0.0,0.0,0.0,0.0,12403003000000.0,0.0,321049453000000.0,10555483000000.0,35616169000000.0,7572229000000.0,7583090000000.0,-10861000000.0,0.0,157556934000000.0,159942048000000.0,-2385114000000.0,86512348000000.0,66625261000000.0,20236200000000.0,-349113000000.0,17702680000000.0,6025027000000.0,36425560000000.0,201471336000000.0,310313000000.0,0.0,13177959000000.0,11856553000000.0,35442539000000.0,0.0,0.0,3867846000000.0,19043774000000.0,5957000000.0,3305927000000.0,7472531000000.0,149821837000000.0,0.0,0.0,12163321000000.0,210068172000000.0,69317000000.0,24226318000000.0,11389851000000.0,0.0,0.0,1682000000.0,-1682000000.0,11323131000000.0,5737907000000.0,0.0,717481000000.0,0.0,-75839000000.0,28973455000000.0,7452105000000.0,3424944000000.0,0.0,8431609000000.0,0.0,,
2019-Q1,4784978000000.0,3104287000000.0,792161000000.0,1769873000000.0,-977712000000.0,0.0,0.0,0.0,2312126000000.0,2953155000000.0,-641029000000.0,1187374000000.0,1435699000000.0,-248325000000.0,12223000000.0,0.0,0.0,12883000000.0,-660000000.0,326111765000000.0,272236804000000.0,53874961000000.0,34965922000000.0,476617000000.0,0.0,0.0,0.0,174000000.0,14485828000000.0,0.0,326111765000000.0,5329967000000.0,45810418000000.0,5448576000000.0,5459556000000.0,-10980000000.0,0.0,161272479000000.0,163835435000000.0,-2562956000000.0,87619240000000.0,72281089000000.0,15806200000000.0,-468049000000.0,11542223000000.0,2698912000000.0,38642789000000.0,207978332000000.0,391265000000.0,0.0,12865884000000.0,9659622000000.0,35442539000000.0,0.0,0.0,3867819000000.0,21961089000000.0,5957000000.0,2434219000000.0,2942408000000.0,168150146000000.0,0.0,0.0,12128934000000.0,135147018000000.0,78601000000.0,33454163000000.0,12356255000000.0,0.0,0.0,1682000000.0,-1682000000.0,6049154000000.0,4739491000000.0,0.0,818833000000.0,0.0,-65255000000.0,31158647000000.0,7484142000000.0,3498146000000.0,0.0,6161476000000.0,0.0,0.0,0.0
2019-Q2,5033905000000.0,3438994000000.0,1107511000000.0,2050650000000.0,-943139000000.0,0.0,0.0,0.0,2331483000000.0,3005141000000.0,-673658000000.0,1178424000000.0,1435699000000.0,-257275000000.0,12223000000.0,0.0,0.0,12883000000.0,-660000000.0,360661683000000.0,304295988000000.0,56365695000000.0,34965922000000.0,476617000000.0,0.0,0.0,0.0,-70000000.0,16884667000000.0,0.0,360661683000000.0,9326009000000.0,42787014000000.0,3143477000000.0,3151232000000.0,-7755000000.0,0.0,182887287000000.0,185432165000000.0,-2544878000000.0,100234572000000.0,86320020000000.0,14406200000000.0,-491648000000.0,12619778000000.0,3062737000000.0,56962932000000.0,220262623000000.0,368615000000.0,0.0,12642157000000.0,10996924000000.0,35442539000000.0,0.0,0.0,3865777000000.0,23075532000000.0,5677000000.0,4938834000000.0,6763993000000.0,180666784000000.0,0.0,0.0,15035566000000.0,200716437000000.0,172782000000.0,33025844000000.0,9761170000000.0,0.0,0.0,1682000000.0,-1682000000.0,7197735000000.0,4648776000000.0,0.0,837728000000.0,0.0,-64461000000.0,47002639000000.0,9960293000000.0,3796678000000.0,0.0,7200246000000.0,0.0,0.0,0.0
2019-Q3,5409433000000.0,3504419000000.0,1111035000000.0,2067498000000.0,-956463000000.0,0.0,0.0,0.0,2393384000000.0,3040502000000.0,-647118000000.0,1169474000000.0,1435699000000.0,-266225000000.0,12223000000.0,0.0,0.0,12883000000.0,-660000000.0,367538462000000.0,308597739000000.0,58940723000000.0,34965922000000.0,476617000000.0,0.0,0.0,0.0,-26000000.0,19438896000000.0,0.0,367538462000000.0,6563740000000.0,43304052000000.0,6977978000000.0,6988338000000.0,-10360000000.0,0.0,202462011000000.0,205317032000000.0,-2855021000000.0,82568226000000.0,74270714000000.0,8706200000000.0,-408688000000.0,15566906000000.0,2000000000000.0,58857592000000.0,218654681000000.0,305999000000.0,0.0,14488610000000.0,14290857000000.0,35442539000000.0,0.0,0.0,3858169000000.0,21646086000000.0,38509000000.0,2331261000000.0,4501457000000.0,251285528000000.0,0.0,0.0,21577583000000.0,227212305000000.0,201145000000.0,28819944000000.0,14484108000000.0,0.0,0.0,1682000000.0,-1682000000.0,9814821000000.0,5112440000000.0,0.0,783970000000.0,0.0,-144325000000.0,48419226000000.0,10438366000000.0,3541502000000.0,0.0,10749355000000.0,0.0,0.0,0.0
2019-Q4,4820627000000.0,3207777000000.0,793484000000.0,1761468000000.0,-967984000000.0,0.0,0.0,0.0,2414293000000.0,3086148000000.0,-671855000000.0,1160524000000.0,1435699000000.0,-275175000000.0,12223000000.0,0.0,0.0,12883000000.0,-660000000.0,383699461000000.0,321626694000000.0,62072767000000.0,35001400000000.0,476567000000.0,0.0,0.0,0.0,0.0,21129945000000.0,0.0,383699461000000.0,3192256000000.0,47990224000000.0,10041556000000.0,10052963000000.0,-11407000000.0,0.0,227885283000000.0,230802027000000.0,-2916744000000.0,66054597000000.0,66158709000000.0,202006000000.0,-306118000000.0,19334394000000.0,0.0,61266635000000.0,231296761000000.0,434008000000.0,0.0,17460634000000.0,11168656000000.0,35477967000000.0,0.0,0.0,5172684000000.0,22285888000000.0,38509000000.0,1108119000000.0,5611861000000.0,221756824000000.0,0.0,0.0,21909553000000.0,260721927000000.0,292171000000.0,38596420000000.0,9393804000000.0,0.0,0.0,1682000000.0,-1682000000.0,12954103000000.0,5553724000000.0,0.0,1055475000000.0,0.0,-228908000000.0,38632337000000.0,22634298000000.0,3479310000000.0,0.0,7689346000000.0,0.0,0.0,0.0
2020-Q1,4150743000000.0,3493005000000.0,1071752000000.0,2074905000000.0,-1003153000000.0,0.0,0.0,0.0,2421253000000.0,3118399000000.0,-697146000000.0,1151574000000.0,1435699000000.0,-284125000000.0,12223000000.0,0.0,0.0,12883000000.0,-660000000.0,391807859000000.0,327217089000000.0,64590770000000.0,35001400000000.0,476562000000.0,0.0,0.0,0.0,12359000000.0,23587283000000.0,0.0,391807859000000.0,5284207000000.0,30990383000000.0,10436754000000.0,10446156000000.0,-9402000000.0,0.0,229037642000000.0,232021072000000.0,-2983430000000.0,85389715000000.0,85177290000000.0,700000000000.0,-487575000000.0,21861613000000.0,1003839000000.0,62925859000000.0,235098792000000.0,385465000000.0,0.0,17472102000000.0,10331032000000.0,35477962000000.0,0.0,0.0,5172679000000.0,21272787000000.0,38509000000.0,5417391000000.0,5126806000000.0,181991271000000.0,0.0,0.0,24085447000000.0,290818680000000.0,340487000000.0,26563973000000.0,4426410000000.0,0.0,0.0,1682000000.0,-1682000000.0,14243518000000.0,6614041000000.0,0.0,1244949000000.0,0.0,-240895000000.0,36325273000000.0,26600586000000.0,3613006000000.0,0.0,6718026000000.0,0.0,0.0,0.0
2020-Q2,4106425000000.0,4126007000000.0,1148505000000.0,1989411000000.0,-840906000000.0,0.0,0.0,0.0,2977502000000.0,3699629000000.0,-722127000000.0,1142624000000.0,1435699000000.0,-293075000000.0,11806000000.0,0.0,0.0,12466000000.0,-660000000.0,395861051000000.0,328431848000000.0,67429203000000.0,35001400000000.0,476562000000.0,0.0,0.0,0.0,-1105000000.0,26404162000000.0,0.0,395861051000000.0,8844670000000.0,45284968000000.0,9340287000000.0,9364565000000.0,-24278000000.0,0.0,229385470000000.0,231665787000000.0,-2280317000000.0,69556147000000.0,69178849000000.0,700000000000.0,-322702000000.0,24062647000000.0,0.0,43577620000000.0,249857269000000.0,364698000000.0,0.0,23404482000000.0,11227779000000.0,35477962000000.0,0.0,0.0,5172660000000.0,21168176000000.0,35008000000.0,2347789000000.0,1373127000000.0,221872979000000.0,0.0,0.0,24786515000000.0,287156199000000.0,375524000000.0,36014074000000.0,9270894000000.0,0.0,0.0,1682000000.0,-1682000000.0,17450115000000.0,5597591000000.0,0.0,1344710000000.0,0.0,-329769000000.0,16726745000000.0,26850875000000.0,3927501000000.0,0.0,7300278000000.0,0.0,0.0,0.0
2020-Q3,4205407000000.0,4272535000000.0,1184445000000.0,2065130000000.0,-880685000000.0,0.0,0.0,0.0,3088090000000.0,3837044000000.0,-748954000000.0,1133674000000.0,1435699000000.0,-302025000000.0,11806000000.0,0.0,0.0,12466000000.0,-660000000.0,401461729000000.0,330853376000000.0,70608353000000.0,35001400000000.0,476562000000.0,0.0,0.0,0.0,-1749000000.0,29503180000000.0,0.0,401461729000000.0,9728941000000.0,26597264000000.0,10054880000000.0,10063292000000.0,-8412000000.0,0.0,228667892000000.0,230715706000000.0,-2047814000000.0,94911279000000.0,95198963000000.0,200000000000.0,-487684000000.0,21878051000000.0,0.0,42459349000000.0,252572479000000.0,425907000000.0,0.0,22784847000000.0,12610794000000.0,35477962000000.0,0.0,0.0,5172187000000.0,24634283000000.0,34868000000.0,4948994000000.0,231654000000.0,153922923000000.0,0.0,0.0,28270989000000.0,286400929000000.0,456773000000.0,22303474000000.0,4293790000000.0,0.0,0.0,1682000000.0,-1682000000.0,14800995000000.0,5988496000000.0,0.0,1321618000000.0,0.0,-233058000000.0,16856490000000.0,25602859000000.0,3736099000000.0,0.0,8874695000000.0,0.0,0.0,0.0
2020-Q4,3663615000000.0,4613423000000.0,1470942000000.0,2416349000000.0,-945407000000.0,0.0,0.0,0.0,3142481000000.0,3923203000000.0,-780722000000.0,1124724000000.0,1435699000000.0,-310975000000.0,11806000000.0,0.0,0.0,12466000000.0,-660000000.0,439602933000000.0,364988147000000.0,74614786000000.0,35049062000000.0,476507000000.0,0.0,0.0,0.0,0.0,31815705000000.0,0.0,439602933000000.0,10253324000000.0,28994954000000.0,8347576000000.0,8357447000000.0,-9871000000.0,0.0,275310367000000.0,277524615000000.0,-2214248000000.0,84447241000000.0,84632952000000.0,200000000000.0,-385711000000.0,22835903000000.0,0.0,47484812000000.0,277458651000000.0,266926000000.0,0.0,27899640000000.0,11878118000000.0,35525569000000.0,0.0,0.0,6789643000000.0,21121837000000.0,34868000000.0,1605493000000.0,3004364000000.0,181340703000000.0,0.0,0.0,30880187000000.0,302318864000000.0,483869000000.0,21112630000000.0,7882324000000.0,0.0,0.0,1682000000.0,-1682000000.0,16572411000000.0,5184822000000.0,0.0,1268562000000.0,0.0,-189892000000.0,21232089000000.0,26252723000000.0,3252009000000.0,0.0,8626109000000.0,0.0,0.0,0.0
2021-Q1,4272683000000.0,4726319000000.0,1591916000000.0,2595431000000.0,-1003515000000.0,0.0,0.0,0.0,3134403000000.0,3940305000000.0,-805902000000.0,1115774000000.0,1435699000000.0,-319925000000.0,11806000000.0,0.0,0.0,12466000000.0,-660000000.0,462822690000000.0,383729925000000.0,79092765000000.0,35049062000000.0,476507000000.0,0.0,0.0,0.0,1803000000.0,36212537000000.0,0.0,462822690000000.0,1764015000000.0,38361058000000.0,5509124000000.0,5521877000000.0,-12753000000.0,0.0,293799393000000.0,296290213000000.0,-2490820000000.0,85926193000000.0,86274400000000.0,200000000000.0,-548207000000.0,27336325000000.0,1689000000.0,59018848000000.0,287445926000000.0,76656000000.0,0.0,26035440000000.0,11151366000000.0,35525569000000.0,0.0,0.0,6789602000000.0,21396105000000.0,34288000000.0,6066424000000.0,6661429000000.0,97343172000000.0,0.0,0.0,34483571000000.0,126630829000000.0,563254000000.0,22454030000000.0,15907028000000.0,0.0,0.0,1682000000.0,-1682000000.0,20888411000000.0,5664148000000.0,0.0,1280326000000.0,0.0,-496560000000.0,24609538000000.0,34409310000000.0,2896917000000.0,0.0,8254449000000.0,0.0,0.0,0.0
2021-Q2,3553612000000.0,6738801000000.0,3278175000000.0,4299245000000.0,-1021070000000.0,0.0,0.0,0.0,3460626000000.0,4306506000000.0,-845880000000.0,1106824000000.0,1435699000000.0,-328875000000.0,12761000000.0,0.0,0.0,13910000000.0,-1149000000.0,504303766000000.0,420402756000000.0,83901010000000.0,35049062000000.0,476507000000.0,0.0,0.0,0.0,3468000000.0,40923663000000.0,0.0,504303766000000.0,4404948000000.0,52084900000000.0,7579192000000.0,7594177000000.0,-14985000000.0,51840000000.0,310617819000000.0,313513991000000.0,-2896172000000.0,87967956000000.0,88243294000000.0,200000000000.0,-475338000000.0,30041106000000.0,319000000.0,90642175000000.0,289334731000000.0,0.0,0.0,27677665000000.0,12747866000000.0,35525569000000.0,0.0,0.0,6789525000000.0,24957309000000.0,34288000000.0,4244316000000.0,6370374000000.0,236695457000000.0,0.0,0.0,45058388000000.0,353143662000000.0,658785000000.0,31309624000000.0,20775276000000.0,0.0,144007000000.0,146556000000.0,-2549000000.0,23489545000000.0,5736051000000.0,0.0,1346629000000.0,0.0,-531119000000.0,43861247000000.0,46780928000000.0,2642628000000.0,0.0,10105238000000.0,0.0,0.0,0.0
2021-Q3,3303309000000.0,7106005000000.0,3540181000000.0,4598424000000.0,-1058243000000.0,0.0,0.0,0.0,3565824000000.0,4454651000000.0,-888827000000.0,1097874000000.0,1435699000000.0,-337825000000.0,12813000000.0,0.0,0.0,13962000000.0,-1149000000.0,541635295000000.0,453250854000000.0,88384441000000.0,35109148000000.0,476474000000.0,0.0,0.0,0.0,15000000.0,45261263000000.0,0.0,541635295000000.0,3395192000000.0,77627953000000.0,6080683000000.0,6116848000000.0,-36165000000.0,25202000000.0,317668922000000.0,321042016000000.0,-3373094000000.0,93253518000000.0,93660419000000.0,200000000000.0,-606901000000.0,31920037000000.0,15482000000.0,90348281000000.0,316376047000000.0,0.0,0.0,34002680000000.0,12508364000000.0,35585622000000.0,0.0,0.0,6784301000000.0,26589753000000.0,29688000000.0,4600898000000.0,3251790000000.0,261227476000000.0,0.0,0.0,44034263000000.0,131335315000000.0,753240000000.0,51058282000000.0,26569671000000.0,0.0,143787000000.0,146556000000.0,-2769000000.0,24883360000000.0,6223821000000.0,0.0,1373335000000.0,0.0,-560479000000.0,31078825000000.0,59269456000000.0,3074314000000.0,0.0,9434050000000.0,0.0,0.0,0.0
