period,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Thuế thu nhập doanh nghiệp đã trả,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,Mua sắm TSCĐ,"Tiền thu được từ thanh lý, nhượng bán tài sản cố định","Tiền chi đầu tư, góp vốn vào các đơn vị khác","Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư góp vốn dài hạn,Lưu chuyển tiền thuần từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",Lưu chuyển tiền thuần trong kỳ,Tiền và các khoản tương đương tiền tài thời điểm đầu kỳ,Điều chỉnh ảnh hưởng của thay đổi tỷ giá,Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,Tiền thuế thu nhập thực nộp trong kỳ,Tiền gửi tại NHNN,Tăng/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,Tăng/giảm các khoản về kinh doanh chứng khoán,Tăng/giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,Tăng/giảm các khoản cho vay khách hàng,"(Tăng)/Giảm lãi, phí phải thu",Tăng/giảm nguồn dự phòng để bù đắp tổn thất các khoản,Tăng/giảm khác về tài sản hoạt động,Tăng/(Giảm) các khoản nợ chính phủ và NHNN,Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,Tăng/(Giảm) tiền gửi của khách hàng,Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,"Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác",Tăng/(Giảm) phát hành giấy tờ có giá,"Tăng/(Giảm) lãi, phí phải trả",Tăng/(Giảm) khác về công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập DN,Chi từ các quỹ của TCTD,Thu được từ nợ khó đòi,"Tiền chi từ thanh lý, nhượng bán TSCĐ",Mua sắm Bất động sản đầu tư,"Tiền thu từ bán, thanh lý bất động sản đầu tư","Tiền chi ra do bán, thanh lý bất động sản đầu tư",Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền chi ra mua cổ phiếu quỹ,Tiền thu được do bán cổ phiếu quỹ,Thu nhập lãi và các khoản thu nhập tương tự nhận được,Chi phí lãi và các chi phí tương tự đã trả,Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập thuần từ hoạt động kinh doanh ngoại hối và vàng,Thu nhập từ hoạt động kinh doanh chứng khoán,Thu nhập khác,"Tiền chi trả cho nhân viên và hoạt động quản lý, cộng cụ","Tiền thu các khoản nợ đã được xử lý, xóa, bù đắp bằng nguồn rủi ro",Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh
2018-Q1,5327859000000.0,0.0,-42649184000000.0,-97602000000.0,670000000.0,417912000000.0,0.0,87132000000.0,408083000000.0,0.0,0.0,0.0,305534247000000.0,0.0,263293146000000.0,-282202000000.0,0.0,142613622000000.0,-120769458000000.0,-112698000000.0,-34180067000000.0,0.0,0.0,19888000000.0,-40004089000000.0,-26351856000000.0,22466921000000.0,0.0,3605000000.0,80497000000.0,0.0,8753075000000.0,-42152701000000.0,-496483000000.0,0.0,-29000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12377065000000.0,-6515419000000.0,881368000000.0,1090205000000.0,0.0,15763000000.0,-3825237000000.0,1586316000000.0,1090205000000.0
2018-Q2,4859857000000.0,0.0,-88676812000000.0,-105050000000.0,942000000.0,280526000000.0,0.0,16603000000.0,192916000000.0,0.0,0.0,0.0,263293146000000.0,0.0,174809250000000.0,-1344783000000.0,0.0,-134350587000000.0,98286473000000.0,945052000000.0,-28438145000000.0,0.0,-1381320000000.0,1192786000000.0,-59680156000000.0,-1060774000000.0,33510033000000.0,375822000000.0,1516000000.0,2877267000000.0,0.0,-5623152000000.0,-88485328000000.0,-191484000000.0,0.0,-105000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13314369000000.0,-7087678000000.0,851271000000.0,723042000000.0,0.0,5303000000.0,-2375548000000.0,773881000000.0,723042000000.0
2018-Q3,5675012000000.0,0.0,1222255000000.0,-336125000000.0,1936000000.0,0.0,90056000000.0,24569000000.0,-219639000000.0,0.0,0.0,0.0,174809250000000.0,0.0,175811866000000.0,-224349000000.0,0.0,4985919000000.0,61739000000.0,-14493000000.0,-21898003000000.0,0.0,0.0,450123000000.0,9533927000000.0,-5353870000000.0,8909427000000.0,-375822000000.0,-1224000000.0,-77119000000.0,0.0,-359699000000.0,1535917000000.0,-313662000000.0,0.0,-75000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12680621000000.0,-6608319000000.0,894914000000.0,760361000000.0,0.0,-2899000000.0,-2477297000000.0,651980000000.0,760361000000.0
2018-Q4,5687547000000.0,0.0,66485460000000.0,-595597000000.0,3001000000.0,0.0,1839545000000.0,-41661000000.0,1203791000000.0,0.0,-2914981000000.0,-2914981000000.0,175811866000000.0,0.0,240586136000000.0,-734441000000.0,0.0,-12398924000000.0,7966589000000.0,-261490000000.0,-4681833000000.0,0.0,-2702401000000.0,-4424119000000.0,9450565000000.0,42347811000000.0,28816846000000.0,0.0,-1247000000.0,366148000000.0,0.0,-3316488000000.0,66849004000000.0,-363544000000.0,0.0,-1497000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16101484000000.0,-7184304000000.0,773774000000.0,639807000000.0,0.0,-60891000000.0,-4107952000000.0,260070000000.0,639807000000.0
2019-Q1,7205949000000.0,0.0,-55058130000000.0,-24395000000.0,1418000000.0,0.0,0.0,9857000000.0,-13163000000.0,6106488000000.0,0.0,6106488000000.0,244014156000000.0,0.0,195049351000000.0,-1341778000000.0,0.0,5267095000000.0,-7841974000000.0,180640000000.0,-41155012000000.0,0.0,0.0,-5726939000000.0,-11571750000000.0,-37259632000000.0,36348048000000.0,0.0,-464000000.0,-112047000000.0,0.0,182991000000.0,-54483095000000.0,-575035000000.0,0.0,-43000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15533475000000.0,-6755404000000.0,1069406000000.0,1011340000000.0,0.0,20090000000.0,-3475982000000.0,1144802000000.0,1011340000000.0
2019-Q2,7474285000000.0,0.0,14386349000000.0,-252223000000.0,1943000000.0,0.0,95773000000.0,91523000000.0,-67528000000.0,-11000000.0,0.0,-11000000.0,195049351000000.0,0.0,209368161000000.0,-1979742000000.0,0.0,-2422601000000.0,-12258210000000.0,-13600000000.0,-22416155000000.0,0.0,-822885000000.0,702687000000.0,492378000000.0,9527895000000.0,32952302000000.0,0.0,-1428000000.0,-9966000000.0,0.0,1419661000000.0,14624363000000.0,-238014000000.0,0.0,-4544000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17130702000000.0,-7615683000000.0,1075384000000.0,0.0,777404000000.0,-26672000000.0,-2684049000000.0,796941000000.0,777404000000.0
2019-Q3,7362940000000.0,0.0,30302227000000.0,-64512000000.0,2494000000.0,0.0,0.0,15384000000.0,-47010000000.0,0.0,0.0,0.0,209368161000000.0,0.0,239623378000000.0,-243066000000.0,0.0,-1315432000000.0,5261786000000.0,19743000000.0,-12658009000000.0,0.0,-7629000000.0,3349279000000.0,-478657000000.0,-7461230000000.0,30955016000000.0,0.0,-1795000000.0,-18491000000.0,0.0,5595716000000.0,30603237000000.0,-301010000000.0,0.0,-376000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16640008000000.0,-8092127000000.0,1278485000000.0,0.0,933427000000.0,-39765000000.0,-4035069000000.0,921047000000.0,933427000000.0
2019-Q4,3062937000000.0,0.0,32991031000000.0,-647290000000.0,4850000000.0,0.0,701000000.0,80873000000.0,-562218000000.0,0.0,0.0,0.0,239623378000000.0,0.0,272052191000000.0,-1262742000000.0,0.0,1182814000000.0,-2724282000000.0,-9112000000.0,-26610957000000.0,0.0,-3671883000000.0,-4080757000000.0,13238520000000.0,32290607000000.0,26229195000000.0,0.0,-1685000000.0,62932000000.0,0.0,-5668026000000.0,33300303000000.0,-309272000000.0,0.0,-1352000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17652295000000.0,-9103953000000.0,885854000000.0,0.0,328411000000.0,-67772000000.0,-5685892000000.0,316736000000.0,328411000000.0
2020-Q1,7294900000000.0,0.0,-85460180000000.0,-44809000000.0,867000000.0,0.0,0.0,10732000000.0,-33268000000.0,0.0,0.0,0.0,272270535000000.0,0.0,186777087000000.0,-1512351000000.0,0.0,5299921000000.0,3399988000000.0,98312000000.0,-19798430000000.0,0.0,0.0,2052726000000.0,-59912717000000.0,-29974633000000.0,5597374000000.0,365859000000.0,-1341000000.0,-12030000000.0,0.0,968594000000.0,-84621477000000.0,-838703000000.0,0.0,-58000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17708639000000.0,-8621541000000.0,1127210000000.0,0.0,923451000000.0,80163000000.0,-3368926000000.0,958255000000.0,923451000000.0
2020-Q2,8115621000000.0,0.0,24360352000000.0,-390239000000.0,1922000000.0,0.0,515577000000.0,2595000000.0,129537000000.0,0.0,-747619000000.0,-747619000000.0,186777087000000.0,0.0,210519357000000.0,-1033041000000.0,0.0,-1310412000000.0,-1135234000000.0,0.0,-16239101000000.0,0.0,0.0,-3132243000000.0,-22126993000000.0,4761785000000.0,47192615000000.0,-306733000000.0,-1160000000.0,-77762000000.0,0.0,8823549000000.0,24563932000000.0,-203580000000.0,0.0,-318000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18508954000000.0,-8629878000000.0,1155790000000.0,0.0,789088000000.0,43816000000.0,-2959565000000.0,240457000000.0,789088000000.0
2020-Q3,5180211000000.0,0.0,-20097059000000.0,-586045000000.0,1380000000.0,0.0,1000000.0,2066000000.0,-582785000000.0,0.0,0.0,0.0,210519357000000.0,0.0,189839513000000.0,-1141074000000.0,0.0,2744162000000.0,-10462483000000.0,0.0,-13012930000000.0,0.0,-1365242000000.0,-2161329000000.0,-4275277000000.0,3925064000000.0,251219000000.0,-25330000000.0,-1528000000.0,-32334000000.0,0.0,-447921000000.0,-19683718000000.0,-413341000000.0,0.0,-187000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15963692000000.0,-7971380000000.0,1257047000000.0,0.0,868746000000.0,66727000000.0,-4335289000000.0,471742000000.0,868746000000.0
2020-Q4,8917705000000.0,0.0,108223884000000.0,-1980809000000.0,6063000000.0,0.0,89696000000.0,16990000000.0,-1870550000000.0,0.0,-2238496000000.0,-2238496000000.0,189839513000000.0,0.0,293954351000000.0,-993287000000.0,0.0,-1126194000000.0,18534513000000.0,0.0,-56030909000000.0,0.0,-1440723000000.0,3939583000000.0,35126176000000.0,51254532000000.0,50621490000000.0,18235000000.0,-1723000000.0,-21889000000.0,0.0,-1153016000000.0,108637780000000.0,-413896000000.0,0.0,-2490000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17888748000000.0,-7971392000000.0,3068538000000.0,0.0,882862000000.0,-819357000000.0,-3889678000000.0,751271000000.0,882862000000.0
2021-Q1,5969277000000.0,0.0,-56849506000000.0,-63503000000.0,1356000000.0,0.0,0.0,8278000000.0,-54084000000.0,0.0,-747619000000.0,-747619000000.0,292582702000000.0,0.0,234931493000000.0,-1912328000000.0,0.0,18663092000000.0,5089660000000.0,0.0,-32149681000000.0,0.0,0.0,-3260830000000.0,-22638627000000.0,-22825236000000.0,-6565960000000.0,11951000000.0,-3695000000.0,168110000000.0,0.0,1701732000000.0,-55840207000000.0,-1009299000000.0,0.0,-215000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15985319000000.0,-7496977000000.0,1758681000000.0,0.0,1026971000000.0,-100199000000.0,-4403617000000.0,1111427000000.0,1026971000000.0
2021-Q2,10419771000000.0,0.0,-21422817000000.0,-293503000000.0,1663000000.0,0.0,0.0,1780000000.0,-290395000000.0,0.0,0.0,0.0,234931493000000.0,0.0,213218281000000.0,-1792025000000.0,0.0,-4318747000000.0,2641746000000.0,0.0,-50010495000000.0,0.0,-618003000000.0,-198199000000.0,-9460892000000.0,3430020000000.0,25726053000000.0,-33361000000.0,-1100000000.0,-10200000000.0,-1701732000000.0,4265985000000.0,-19869154000000.0,-1553663000000.0,0.0,-335000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20075830000000.0,-6799350000000.0,1268019000000.0,854640000000.0,0.0,-120801000000.0,-3545558000000.0,479016000000.0,854640000000.0
2021-Q3,7964389000000.0,0.0,35041818000000.0,-156512000000.0,1653000000.0,-83502000000.0,0.0,17412000000.0,-221326000000.0,0.0,0.0,0.0,213218281000000.0,0.0,248038773000000.0,-1230946000000.0,0.0,-21925772000000.0,-9671944000000.0,-259485000000.0,-14394531000000.0,0.0,-210482000000.0,-1432543000000.0,-368291000000.0,21950150000000.0,57145216000000.0,-30621000000.0,-1100000000.0,-19948000000.0,0.0,-3091234000000.0,35653804000000.0,-611986000000.0,0.0,-377000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16807912000000.0,-6549114000000.0,1127266000000.0,813515000000.0,0.0,-177216000000.0,-3454665000000.0,627637000000.0,813515000000.0
2021-Q4,8035541000000.0,0.0,-11549673000000.0,-1107915000000.0,3736000000.0,0.0,13791000000.0,66374000000.0,-1024288000000.0,0.0,-1138679000000.0,-1138679000000.0,248038773000000.0,0.0,234326133000000.0,-942504000000.0,0.0,-3383891000000.0,-12138854000000.0,-43717000000.0,-24406987000000.0,0.0,-1709885000000.0,-5886647000000.0,758931000000.0,3619010000000.0,26905037000000.0,0.0,-1077000000.0,-3991388000000.0,0.0,1317954000000.0,-10925973000000.0,-623700000000.0,0.0,-274000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17936752000000.0,-7989659000000.0,1574007000000.0,0.0,1884102000000.0,-127960000000.0,-4993347000000.0,694150000000.0,1884102000000.0
2022-Q1,9697992000000.0,0.0,-17381480000000.0,-22389000000.0,2948000000.0,0.0,1864000000.0,2196000000.0,-17426000000.0,0.0,-3329224000000.0,-3329224000000.0,232553995000000.0,0.0,211825865000000.0,-642532000000.0,0.0,-200908000000.0,-1896895000000.0,303202000000.0,-68149789000000.0,0.0,-59677000000.0,-277225000000.0,26842324000000.0,-28480082000000.0,44344968000000.0,5215000000.0,-1122000000.0,-7204000000.0,0.0,1567100000000.0,-16312101000000.0,-1069379000000.0,0.0,-2045000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18270754000000.0,-6591715000000.0,1031728000000.0,0.0,1637580000000.0,-62483000000.0,-4490878000000.0,545538000000.0,1637580000000.0
2022-Q2,12303964000000.0,0.0,67661893000000.0,-45514000000.0,2768000000.0,0.0,0.0,12382000000.0,-31080000000.0,0.0,0.0,0.0,211825865000000.0,0.0,279456678000000.0,-2375038000000.0,0.0,-1870636000000.0,-375699000000.0,0.0,-71952419000000.0,0.0,-65006000000.0,-1122961000000.0,24710109000000.0,90399196000000.0,15722695000000.0,14242000000.0,-1100000000.0,-3013145000000.0,0.0,3201612000000.0,67950852000000.0,-288959000000.0,0.0,-716000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21732756000000.0,-7037102000000.0,1534179000000.0,0.0,1548973000000.0,-63413000000.0,-3978693000000.0,942302000000.0,1548973000000.0
2022-Q3,12553919000000.0,0.0,10616321000000.0,-3123000000.0,4575000000.0,0.0,200034000000.0,89800000000.0,290773000000.0,0.0,0.0,0.0,279456678000000.0,0.0,290363772000000.0,-915809000000.0,0.0,-9624234000000.0,5375441000000.0,0.0,-29291838000000.0,0.0,-172573000000.0,-5866893000000.0,32932749000000.0,8081742000000.0,1759325000000.0,100622000000.0,-1100000000.0,331594000000.0,0.0,-4861302000000.0,11317452000000.0,-701131000000.0,0.0,-513000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21690247000000.0,-7036079000000.0,1102269000000.0,0.0,1613861000000.0,-86019000000.0,-4285973000000.0,471422000000.0,1613861000000.0
2022-Q4,9159766000000.0,0.0,122478610000000.0,-640541000000.0,5462000000.0,0.0,1000000.0,2676000000.0,-633936000000.0,0.0,-18798000000.0,-18798000000.0,290363772000000.0,0.0,412189648000000.0,-42700000000.0,0.0,-3323687000000.0,2328908000000.0,-156515000000.0,-14922249000000.0,0.0,-3233090000000.0,-22778775000000.0,-26638482000000.0,52752217000000.0,46317571000000.0,-120079000000.0,-1087000000.0,10639552000000.0,0.0,72933744000000.0,122957794000000.0,-479184000000.0,0.0,-1534000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24373073000000.0,-11044233000000.0,1491792000000.0,0.0,1174762000000.0,-139817000000.0,-7088593000000.0,435482000000.0,1174762000000.0
2023-Q1,9438386000000.0,0.0,47586319000000.0,-73876000000.0,2071000000.0,0.0,0.0,22464000000.0,-49368000000.0,0.0,0.0,0.0,412235294000000.0,0.0,459772245000000.0,-5577486000000.0,0.0,17257309000000.0,-8025946000000.0,-68110000000.0,-29014714000000.0,0.0,-29914000000.0,33421448000000.0,-5147048000000.0,22823618000000.0,38019445000000.0,0.0,-1112000000.0,1999996000000.0,0.0,-31994056000000.0,48679302000000.0,-1092983000000.0,0.0,-27000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26870255000000.0,-10245350000000.0,1036571000000.0,0.0,1661244000000.0,684356000000.0,-5387579000000.0,396375000000.0,1661244000000.0
2023-Q2,14515179000000.0,0.0,-134034351000000.0,-205830000000.0,1419000000.0,0.0,0.0,13746000000.0,-190988000000.0,0.0,0.0,0.0,459772245000000.0,0.0,325546906000000.0,-2225677000000.0,0.0,1066292000000.0,17878612000000.0,7197000000.0,-3647493000000.0,0.0,-1403515000000.0,-9260617000000.0,-59897423000000.0,-94673021000000.0,45365920000000.0,0.0,-1098000000.0,-11014113000000.0,0.0,-32826394000000.0,-133890474000000.0,-143877000000.0,0.0,-323000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29880897000000.0,-11545903000000.0,1202338000000.0,0.0,1375543000000.0,-132508000000.0,-4429062000000.0,389551000000.0,1375543000000.0
2023-Q3,14093284000000.0,0.0,38103486000000.0,-107205000000.0,2487000000.0,0.0,0.0,115942000000.0,11042000000.0,0.0,0.0,0.0,325546906000000.0,0.0,363661434000000.0,-1005630000000.0,0.0,-4800459000000.0,15160227000000.0,217428000000.0,-12102093000000.0,0.0,-13603000000.0,10532445000000.0,247117000000.0,-427324000000.0,22153174000000.0,899053000000.0,-363000000.0,-1046016000000.0,0.0,-5649597000000.0,39263273000000.0,-1159787000000.0,0.0,-182000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26481547000000.0,-10022982000000.0,891012000000.0,0.0,1484267000000.0,-26705000000.0,-4253389000000.0,545164000000.0,1484267000000.0
2023-Q4,7123781000000.0,0.0,8811415000000.0,-621249000000.0,3458000000.0,0.0,0.0,-6064000000.0,-630093000000.0,0.0,-15627000000.0,-15627000000.0,363661434000000.0,0.0,371827129000000.0,-161174000000.0,0.0,-2882224000000.0,-5219894000000.0,0.0,-80528468000000.0,0.0,-4311170000000.0,-4877587000000.0,-846625000000.0,53607857000000.0,46687601000000.0,-781301000000.0,-360000000.0,4634859000000.0,0.0,-3394018000000.0,9212451000000.0,-401036000000.0,0.0,-6238000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24882949000000.0,-15640585000000.0,970702000000.0,0.0,2521545000000.0,-345755000000.0,-5862927000000.0,759026000000.0,2521545000000.0
2024-Q1,341880000000.0,0.0,-63174486000000.0,-132901000000.0,1700000000.0,0.0,0.0,678000000.0,-130534000000.0,0.0,0.0,0.0,372818730000000.0,0.0,309513710000000.0,-4646216000000.0,0.0,1569827000000.0,-8179620000000.0,0.0,3881093000000.0,0.0,0.0,4257651000000.0,2469726000000.0,-42350599000000.0,-48372000000000.0,-26382000000.0,-364000000.0,9992335000000.0,0.0,14486284000000.0,-61930169000000.0,-1244317000000.0,0.0,-11000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23476932000000.0,-13673549000000.0,1021789000000.0,0.0,-547941000000.0,-202525000000.0,-5795493000000.0,708883000000.0,-547941000000.0
2024-Q2,10302421000000.0,0.0,20401129000000.0,-358137000000.0,2282000000.0,0.0,747000000.0,125022000000.0,-230230000000.0,0.0,0.0,0.0,309513710000000.0,0.0,329684609000000.0,-2140349000000.0,0.0,3807333000000.0,-12870888000000.0,-510955000000.0,-103167385000000.0,0.0,-1481230000000.0,-137155000000.0,62847156000000.0,47149361000000.0,27357821000000.0,-91370000000.0,5000000.0,-3003556000000.0,0.0,-9461821000000.0,20739737000000.0,-338608000000.0,0.0,-144000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24089699000000.0,-11112492000000.0,1079179000000.0,0.0,2371284000000.0,-644026000000.0,-4007148000000.0,666274000000.0,2371284000000.0
2024-Q3,9114456000000.0,0.0,-15216618000000.0,-457907000000.0,3030000000.0,0.0,0.0,10299000000.0,-444866000000.0,0.0,0.0,0.0,329684609000000.0,0.0,314023125000000.0,-1986038000000.0,0.0,6140804000000.0,-5383780000000.0,510955000000.0,-31506365000000.0,0.0,1071000000.0,-12099473000000.0,-30694446000000.0,-1377375000000.0,55387588000000.0,116988000000.0,-4000000.0,-197000000.0,0.0,-4779981000000.0,-14569759000000.0,-646859000000.0,0.0,-288000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23145237000000.0,-9346726000000.0,852485000000.0,0.0,967211000000.0,-200194000000.0,-5069588000000.0,752069000000.0,967211000000.0
2024-Q4,10425121000000.0,0.0,117112806000000.0,-531176000000.0,5492000000.0,0.0,0.0,24710000000.0,-501783000000.0,0.0,-19963000000.0,-19963000000.0,314023125000000.0,0.0,430614185000000.0,-81798000000.0,0.0,6503970000000.0,2299942000000.0,-1314434000000.0,-48047224000000.0,0.0,-3877864000000.0,8475202000000.0,41944064000000.0,17273590000000.0,84593830000000.0,-116988000000.0,527000000.0,-2776436000000.0,0.0,2376448000000.0,117759748000000.0,-646942000000.0,0.0,-809000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23060402000000.0,-9657477000000.0,570544000000.0,0.0,1303964000000.0,-343813000000.0,-6050484000000.0,1623783000000.0,1303964000000.0
2025-Q1,3115299000000.0,0.0,-13180595000000.0,-186147000000.0,1678000000.0,0.0,0.0,9703000000.0,-174898000000.0,0.0,0.0,0.0,430614185000000.0,0.0,417258692000000.0,-4372647000000.0,0.0,-11116836000000.0,-13134901000000.0,1314434000000.0,-17191637000000.0,0.0,-443446000000.0,3905881000000.0,47061130000000.0,-11769687000000.0,-5551461000000.0,306420000000.0,-527000000.0,-9960000000000.0,0.0,1461343000000.0,-12003988000000.0,-1176607000000.0,0.0,-132000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23692971000000.0,-11670037000000.0,805964000000.0,0.0,-316258000000.0,-98301000000.0,-5686026000000.0,759633000000.0,-316258000000.0
2025-Q2,9933187000000.0,0.0,37917302000000.0,-194907000000.0,3754000000.0,0.0,0.0,12103000000.0,-179204000000.0,0.0,0.0,0.0,417258692000000.0,0.0,454996790000000.0,-2151817000000.0,0.0,4309392000000.0,15695784000000.0,0.0,-89378940000000.0,0.0,1000000.0,-3282381000000.0,-25561315000000.0,36020017000000.0,77569286000000.0,-259159000000.0,0.0,10000019000000.0,0.0,3454348000000.0,38500239000000.0,-582937000000.0,0.0,-154000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26344165000000.0,-10623098000000.0,809330000000.0,0.0,1204998000000.0,-57261000000.0,-6799719000000.0,1206589000000.0,1204998000000.0
2025-Q3,13260522000000.0,0.0,81546582000000.0,-464524000000.0,6107000000.0,0.0,0.0,94521000000.0,-364267000000.0,0.0,0.0,0.0,454996790000000.0,0.0,536179105000000.0,-2637573000000.0,0.0,-412598000000.0,-1207173000000.0,0.0,-74173032000000.0,0.0,-76444000000.0,-3397935000000.0,62848195000000.0,58388254000000.0,25284023000000.0,-18610000000.0,0.0,-1080000000000.0,0.0,2517751000000.0,81932953000000.0,-386371000000.0,0.0,-371000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25992147000000.0,-10677671000000.0,936483000000.0,0.0,3166311000000.0,37554000000.0,-4445209000000.0,888480000000.0,3166311000000.0
2025-Q4,12110627000000.0,0.0,9947262000000.0,-607910000000.0,5692000000.0,-60167000000.0,0.0,2249000000.0,-660767000000.0,0.0,-3776798000000.0,-3776798000000.0,536179105000000.0,0.0,541688802000000.0,-79928000000.0,0.0,-2607521000000.0,-6181521000000.0,-374918000000.0,-43583167000000.0,0.0,-6767894000000.0,-178009000000.0,-2457022000000.0,3985560000000.0,60568148000000.0,-28651000000.0,-2000000.0,4016018000000.0,0.0,-8075249000000.0,10426399000000.0,-479137000000.0,0.0,-631000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28347371000000.0,-12011458000000.0,862068000000.0,0.0,1019119000000.0,-222396000000.0,-6865503000000.0,1061354000000.0,1019119000000.0
2026-Q1,11599797000000.0,0.0,35398194000000.0,-308060000000.0,4269000000.0,0.0,0.0,9996000000.0,-294108000000.0,0.0,0.0,0.0,541688802000000.0,0.0,576792888000000.0,-2975744000000.0,0.0,-2260157000000.0,5995390000000.0,-25759000000.0,-81400593000000.0,0.0,0.0,2195812000000.0,38501215000000.0,46026475000000.0,9497528000000.0,0.0,0.0,1993595000000.0,0.0,4605112000000.0,36728415000000.0,-1330221000000.0,0.0,-313000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31437617000000.0,-12196675000000.0,942731000000.0,0.0,1396283000000.0,-17058000000.0,-7857568000000.0,870211000000.0,1396283000000.0
